epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,91.5891,0.77617,0.48191,0.00862,1,0.98205,0.995,0.82949,0.74296,0.28758,0.009,0.00103288,0.00103288,0.00103288
44,93.4133,0.87528,0.50152,0.00964,0.92384,1,0.99,0.8079,0.77358,0.32818,0.00959,0.00102345,0.00102345,0.00102345
45,95.1945,0.67715,0.47055,0.00799,0.94951,0.99025,0.9925,0.83131,0.6596,0.2623,0.00821,0.00101402,0.00101402,0.00101402
46,96.9712,0.68094,0.44152,0.0081,0.99831,0.94737,0.98818,0.74817,0.91951,0.38311,0.01216,0.00100459,0.00100459,0.00100459
47,98.7835,0.75838,0.49259,0.00945,0.90405,0.99215,0.97659,0.72695,0.87295,0.37355,0.01062,0.000995156,0.000995156,0.000995156
48,100.607,0.76585,0.43425,0.00915,0.94929,1,0.9925,0.75025,0.96788,0.31077,0.01375,0.000985724,0.000985724,0.000985724
49,102.346,0.70493,0.4001,0.00843,0.98893,1,0.995,0.83571,0.68478,0.24246,0.00819,0.000976293,0.000976293,0.000976293
50,104.098,0.72369,0.44571,0.00842,0.99862,1,0.995,0.76658,0.93403,0.29443,0.01231,0.000966861,0.000966861,0.000966861
51,105.928,0.72347,0.43073,0.00884,0.98657,1,0.995,0.82004,0.77762,0.26203,0.01111,0.00095743,0.00095743,0.00095743
52,107.744,0.75592,0.438,0.00903,0.99016,1,0.995,0.77006,0.97487,0.31058,0.01196,0.000947999,0.000947999,0.000947999
53,109.615,0.76612,0.41834,0.00879,1,0.99671,0.995,0.79467,0.8697,0.28152,0.01132,0.000938567,0.000938567,0.000938567
54,111.41,0.74442,0.39618,0.00913,0.99506,1,0.995,0.84262,0.66932,0.20143,0.00794,0.000929136,0.000929136,0.000929136
55,113.205,0.76684,0.42932,0.0091,1,0.98522,0.995,0.80103,0.78764,0.28153,0.00957,0.000919704,0.000919704,0.000919704
56,115.029,0.65494,0.40539,0.00791,1,0.99352,0.995,0.79758,0.84594,0.30584,0.0117,0.000910273,0.000910273,0.000910273
57,116.782,0.63017,0.34051,0.00799,0.9985,1,0.995,0.79295,0.83383,0.24986,0.01031,0.000900842,0.000900842,0.000900842
58,118.619,0.70169,0.38602,0.00857,0.99786,1,0.995,0.79293,0.89535,0.26373,0.01172,0.00089141,0.00089141,0.00089141
59,120.459,0.70634,0.41026,0.0083,0.90275,1,0.98761,0.85843,0.61591,0.26424,0.00769,0.000881979,0.000881979,0.000881979
60,122.303,0.65946,0.37012,0.0076,1,0.94705,0.99024,0.8508,0.62701,0.25424,0.00762,0.000872547,0.000872547,0.000872547
61,124.048,0.65956,0.39209,0.00713,0.94437,1,0.9925,0.84675,0.66127,0.27559,0.00824,0.000863116,0.000863116,0.000863116
62,125.818,0.72283,0.40237,0.00862,0.99988,0.94737,0.99024,0.81948,0.70317,0.26756,0.00888,0.000853685,0.000853685,0.000853685
63,127.64,0.67532,0.3463,0.00779,0.99594,0.94737,0.9925,0.85735,0.61901,0.22125,0.00728,0.000844253,0.000844253,0.000844253
64,129.39,0.68472,0.37648,0.00881,1,0.99727,0.995,0.81911,0.74147,0.24264,0.00968,0.000834822,0.000834822,0.000834822
65,131.118,0.68759,0.33653,0.0075,1,0.99742,0.995,0.8464,0.63608,0.21963,0.00819,0.00082539,0.00082539,0.00082539
66,132.876,0.67343,0.35782,0.00777,0.99257,1,0.995,0.81494,0.75841,0.2479,0.00974,0.000815959,0.000815959,0.000815959
67,134.655,0.70411,0.36629,0.00831,0.99356,1,0.995,0.87948,0.584,0.20284,0.00679,0.000806528,0.000806528,0.000806528
68,136.448,0.67327,0.32844,0.00755,1,0.99715,0.995,0.8815,0.57862,0.22513,0.0066,0.000797096,0.000797096,0.000797096
69,138.322,0.67839,0.32392,0.00746,0.98906,1,0.995,0.87127,0.63272,0.22901,0.00737,0.000787665,0.000787665,0.000787665
70,140.106,0.64292,0.32255,0.00752,0.99915,1,0.995,0.82358,0.7391,0.23459,0.0096,0.000778233,0.000778233,0.000778233
71,141.889,0.64578,0.35221,0.00715,1,0.9469,0.995,0.85463,0.66726,0.25235,0.00908,0.000768802,0.000768802,0.000768802
72,143.668,0.6314,0.32938,0.00747,0.99296,1,0.995,0.84217,0.68073,0.21598,0.00859,0.000759371,0.000759371,0.000759371
73,145.413,0.73674,0.35139,0.00865,0.94496,1,0.9925,0.86778,0.60657,0.2458,0.00755,0.000749939,0.000749939,0.000749939
74,147.223,0.60107,0.30842,0.0069,1,0.99346,0.995,0.86962,0.57062,0.24063,0.00711,0.000740508,0.000740508,0.000740508
75,148.952,0.61755,0.32226,0.00669,0.9949,1,0.995,0.87849,0.55828,0.19341,0.00698,0.000731076,0.000731076,0.000731076
